time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1452,0,0
1980,21549,4510
2464,45433,0
2992,0,0
3476,0,0
3960,0,0
4488,0,0
5016,0,0
5500,0,0
6028,0,0
6556,0,0
7040,0,0
7568,0,0
8052,0,0
8580,0,0
9108,0,0
9636,0,0
10164,0,0
10648,0,0
11176,0,0
11704,0,0
12188,0,0
12716,0,0
13200,0,0
13728,0,0
14256,0,0
14740,0,0
15268,0,0
15796,0,0
16280,0,0
16808,0,0
17336,0,0
17864,0,0
18348,0,0
18876,0,0
19404,0,0
19888,0,0
20416,0,0
20944,0,0
21472,0,0
21956,0,0
22484,0,0
22968,0,0
23496,0,0
24024,0,0
24508,0,0
25036,0,0
25564,0,0
26092,0,0
26576,0,0
27104,0,0
27632,0,0
28116,0,0
28644,0,0
29172,0,0
29700,5372,6065
30228,55123,0
30712,0,0
31240,0,0
31768,0,0
32296,0,0
32780,0,0
33308,0,0
33836,0,0
34320,0,0
34848,0,0
35332,0,0
35860,0,0
36344,0,0
36872,0,0
37400,0,0
37928,0,0
38456,0,0
38940,0,0
39468,0,0
39996,0,0
40524,0,0
41008,0,0
41536,0,0
42020,0,0
42548,0,0
43076,0,0
43604,0,0
44088,0,0
44616,0,0
