time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1496,0,0
2024,27635,7122
2508,210,54
3036,2055,3039
3520,0,0
4048,0,0
4532,0,0
5060,0,0
5588,0,0
6072,0,0
6600,0,0
7084,0,0
7612,0,0
8140,0,0
8624,0,0
9152,0,0
9680,0,0
10164,0,0
10692,0,0
11220,0,0
11704,0,0
12232,0,0
12716,0,0
13244,0,0
13772,0,0
14256,0,0
14784,0,0
15268,0,0
15796,0,0
16324,0,0
16808,0,0
17336,0,0
17864,0,0
18348,0,0
18876,0,0
19404,0,0
19888,0,0
20416,0,0
20944,0,0
21428,0,0
21956,0,0
22484,0,0
22968,0,0
23496,0,0
23980,0,0
24508,0,0
24992,0,0
25520,0,0
26004,0,0
26532,0,0
27060,0,0
27588,0,0
28072,0,0
28600,0,0
29128,0,0
29612,0,0
30140,0,0
30668,0,0
31152,0,0
31680,0,0
32164,0,0
32692,0,0
33220,0,0
33704,0,0
34232,0,0
34760,0,0
35288,0,0
35772,0,0
36300,0,0
36784,0,0
37312,0,0
37840,0,0
38324,0,0
38852,0,0
39380,0,0
39864,0,0
40392,0,0
40920,0,0
41448,0,0
41932,0,0
42460,0,0
42944,0,0
43472,0,0
44000,0,0
44484,0,0
