time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2548,0,0
3087,0,0
3577,0,0
4067,3865,7404
4606,0,0
5096,12833,2031
5586,7348,521
6076,11968,5308
6615,20643,2775
7105,0,0
7595,21946,8139
8134,0,0
8624,0,0
9114,0,0
9604,0,0
10143,0,0
10633,0,0
11123,0,0
11662,0,0
12152,0,0
12642,0,0
13132,0,0
13671,0,0
14161,0,0
14651,0,0
15141,0,0
15680,0,0
16170,0,0
16660,0,0
17150,0,0
17689,0,0
18179,0,0
18669,0,0
19159,0,0
19698,0,0
20188,0,0
20678,0,0
21217,0,0
21707,0,0
22197,0,0
22687,0,0
23226,0,0
23716,0,0
24206,0,0
24696,0,0
25235,0,0
25725,445,1411
26215,22475,1343
26754,40366,12642
27244,0,0
27734,0,0
28224,0,0
28763,0,0
29253,0,0
29743,0,0
30233,0,0
30772,0,0
31262,0,0
31752,0,0
32291,0,0
32781,0,0
33271,0,0
33761,0,0
34300,0,0
34790,0,0
35280,0,0
35770,0,0
36309,0,0
36799,0,0
37289,0,0
37828,0,0
38318,0,0
38808,0,0
39298,0,0
39837,0,0
40327,0,0
40817,0,0
41307,0,0
41846,0,0
42336,0,0
42826,0,0
43365,0,0
43855,32135,11194
44345,1109153,48149
44835,0,0
45374,0,0
45864,1030607,25316
46354,0,0
46844,330174,10277
47383,0,0
47873,127233,23738
48363,0,0
48902,134848,26921
49392,0,0
49882,0,0
