time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1496,0,0
1980,0,0
2508,0,0
2992,3859,5399
3520,0,0
4004,0,0
4532,0,0
5016,0,0
5544,0,0
6028,0,0
6512,0,0
7040,0,0
7568,0,0
8052,0,0
8536,0,0
9064,0,0
9548,0,0
10076,0,0
10560,0,0
11088,0,0
11572,0,0
12056,0,0
12584,0,0
13068,0,0
13596,0,0
14080,0,0
14608,0,0
15136,0,0
15620,0,0
16148,0,0
16632,0,0
17160,0,0
17644,0,0
18172,0,0
18656,0,0
19184,0,0
19712,0,0
20240,0,0
20724,0,0
21252,0,0
21780,0,0
22264,0,0
22792,0,0
23276,0,0
23804,0,0
24288,0,0
24816,0,0
25300,0,0
25828,0,0
26312,0,0
26840,0,0
27324,0,0
27852,0,0
28336,0,0
28864,0,0
29348,0,0
29876,0,0
30360,0,0
30888,0,0
31372,0,0
31856,0,0
32384,0,0
32868,0,0
33396,0,0
33880,0,0
34408,0,0
34936,0,0
35420,0,0
35948,0,0
36432,0,0
36960,0,0
37444,0,0
37972,0,0
38456,0,0
38984,0,0
39468,0,0
39996,0,0
40480,0,0
41008,0,0
41492,0,0
42020,0,0
42504,0,0
43032,0,0
43560,0,0
44044,0,0
44572,0,0
