time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2052,0,0
2592,0,0
3078,0,0
3564,0,0
4104,0,0
4590,0,0
5076,0,0
5616,0,0
6102,0,0
6588,0,0
7128,0,0
7614,0,0
8100,0,0
8640,0,0
9126,0,0
9612,0,0
10098,0,0
10638,0,0
11124,0,0
11610,0,0
12150,0,0
12636,0,0
13122,0,0
13662,0,0
14148,0,0
14634,0,0
15174,0,0
15660,0,0
16146,0,0
16686,0,0
17172,0,0
17658,0,0
18198,0,0
18684,0,0
19170,0,0
19656,0,0
20196,0,0
20682,0,0
21168,0,0
21708,0,0
22194,0,0
22680,0,0
23220,0,0
23706,0,0
24192,0,0
24732,0,0
25218,0,0
25704,0,0
26244,0,0
26730,0,0
27216,0,0
27756,0,0
28242,0,0
28728,0,0
29268,0,0
29754,0,0
30240,0,0
30780,0,0
31266,0,0
31752,0,0
32292,0,0
32778,0,0
33264,0,0
33804,0,0
34290,0,0
34776,0,0
35316,0,0
35802,0,0
36288,0,0
36828,0,0
37314,0,0
37800,0,0
38340,0,0
38826,0,0
39312,0,0
39798,0,0
40338,0,0
40824,0,0
41310,0,0
41850,0,0
42336,0,0
42822,0,0
43362,0,0
43848,0,0
44334,0,0
44874,0,0
45360,0,0
45846,0,0
46386,0,0
46872,0,0
47358,0,0
47898,0,0
48384,0,0
48870,0,0
49410,0,0
49896,0,0
50382,0,0
50922,0,0
51408,0,0
51894,0,0
52380,0,0
52920,0,0
53406,0,0
53892,0,0
54432,15338,5059
54918,4968,851
