time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2058,0,0
2597,0,0
3087,0,0
3577,0,0
4067,20202,2915
4606,45889,2517
5096,0,0
5586,1896,206
6076,0,0
6615,0,0
7105,0,0
7595,0,0
8134,0,0
8624,0,0
9114,0,0
9604,0,0
10143,0,0
10633,0,0
11123,0,0
11613,0,0
12152,0,0
12642,0,0
13132,0,0
13622,0,0
14161,0,0
14651,0,0
15141,0,0
15631,0,0
16170,0,0
16660,0,0
17150,0,0
17689,0,0
18179,0,0
18669,0,0
19159,0,0
19698,0,0
20188,0,0
20678,0,0
21168,0,0
21707,0,0
22197,0,0
22687,0,0
23226,0,0
23716,0,0
24206,0,0
24696,0,0
25235,0,0
25725,0,0
26215,0,0
26705,0,0
27244,0,0
27734,0,0
28224,0,0
28714,0,0
29253,0,0
29743,0,0
30233,0,0
30772,0,0
31262,0,0
31801,228,427
32291,5421,6156
32781,54993,0
33271,0,206
33810,0,0
34300,0,0
34790,0,0
35280,0,0
35819,0,0
36309,0,0
36799,0,0
37289,0,0
37828,0,0
38318,0,0
38808,0,0
39347,0,0
39837,0,0
40327,0,0
40817,0,0
41356,0,0
41846,0,0
42336,0,0
42826,0,0
43365,0,0
43855,0,0
44345,0,0
44884,0,0
45374,0,0
45864,0,0
46403,0,0
46893,0,0
47383,0,0
47873,0,0
48412,0,0
48902,0,0
49392,0,0
49882,13782,2009
