time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
1496,0,0
1980,27543,7098
2508,667,2474
2992,1231,0
3520,0,0
4004,0,0
4532,0,0
5060,0,0
5544,0,0
6072,0,0
6600,0,0
7084,0,0
7612,0,0
8140,0,0
8624,0,0
9152,0,0
9636,0,0
10164,0,0
10692,0,0
11176,0,0
11704,0,0
12232,0,0
12760,0,0
13244,0,0
13772,0,0
14300,0,0
14784,0,0
15312,0,0
15840,0,0
16324,0,0
16852,0,0
17380,0,0
17864,0,0
18392,0,0
18920,0,0
19404,0,0
19932,0,0
20416,0,0
20944,0,0
21428,0,0
21956,0,0
22440,0,0
22968,0,0
23496,0,0
23980,0,0
24508,0,0
25036,0,0
25520,0,0
26048,0,0
26532,0,0
27060,0,0
27588,0,0
28116,0,0
28600,0,0
29128,0,0
29656,0,0
30140,0,0
30668,0,0
31196,0,0
31680,0,0
32208,0,0
32736,0,0
33220,0,0
33748,0,0
34276,0,0
34760,0,0
35288,0,0
35772,0,0
36300,0,0
36828,0,0
37312,0,0
37840,0,0
38368,0,0
38896,0,0
39380,0,0
39908,0,0
40436,0,0
40920,0,0
41448,0,0
41976,0,0
42460,0,0
42988,0,0
43516,0,0
44000,0,0
44528,0,0
