time_ms,received_bytes_sec,sent_bytes_sec
0,0,0
2058,0,0
2548,24818,2425
3087,0,2187
3577,0,0
4067,0,0
4606,0,238
5096,0,0
5586,0,0
6076,0,0
6615,0,0
7105,24703,2177
7595,0,2532
8085,0,0
8624,0,0
9114,0,0
9604,0,0
10143,0,0
10633,0,0
11123,0,0
11613,0,0
12152,0,0
12642,0,0
13132,0,0
13622,0,0
14161,0,0
14651,0,0
15141,0,0
15631,0,0
16170,0,0
16660,0,0
17150,0,0
17689,0,0
18179,0,0
18669,0,0
19159,0,0
19698,0,0
20188,0,0
20678,0,0
21168,0,0
21707,0,0
22197,0,0
22687,0,0
23177,0,0
23716,0,0
24206,0,0
24696,0,0
25235,0,0
25725,0,0
26215,0,0
26705,0,0
27244,0,0
27734,0,0
28224,0,0
28714,0,0
29253,0,0
29743,0,0
30233,0,0
30772,0,0
31262,0,0
31752,0,0
32242,0,0
32781,0,0
33271,0,0
33761,0,0
34251,0,0
34790,0,0
35280,0,0
35770,0,0
36309,0,0
36799,0,0
37289,0,0
37779,0,0
38318,0,0
38808,0,0
39298,0,0
39788,0,0
40327,0,0
40817,0,0
41307,0,0
41846,0,0
42336,0,0
42826,0,0
43316,0,0
43855,0,0
44345,0,0
44835,0,0
45325,0,0
45864,0,0
46354,0,0
46844,0,0
47334,0,0
47873,0,0
48363,0,0
48853,0,0
49392,0,0
49882,0,0
